id,name,type,organ,ontology_id
UBERON:0013702,body,AS,body,UBERON:0013702
UBERON:0000948,heart,AS,blood_vasculature,UBERON:0000948
UBERON:0002079,left cardiac atrium,AS,blood_vasculature,UBERON:0002079
CL:0010008,cardiac endothelial cell,CT,blood_vasculature,CL:0010008
FMA:49913,Left inferior pulmonary vein,AS,blood_vasculature,FMA:49913
CL:0000071,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543,vein endothelial cell,CT,blood_vasculature,CL:0002543
FMA:49916,Left superior pulmonary vein,AS,blood_vasculature,FMA:49916
CL:0000071$$1,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$2,vein endothelial cell,CT,blood_vasculature,CL:0002543
UBERON:0002016,pulmonary vein,AS,blood_vasculature,UBERON:0002016
CL:0000071$$3,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$4,vein endothelial cell,CT,blood_vasculature,CL:0002543
UBERON:0014904,intersegmental pulmonary vein,AS,blood_vasculature,UBERON:0014904
CL:0000071$$5,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$6,vein endothelial cell,CT,blood_vasculature,CL:0002543
FMA:9413,Subsegmental pulmonary vein,AS,blood_vasculature,FMA:9413
CL:0000071$$7,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$8,vein endothelial cell,CT,blood_vasculature,CL:0002543
ASCTB-TEMP:pulmonary-venule,pulmonary venule,AS,blood_vasculature,ASCTB-TEMP:pulmonary-venule
CL:0000071$$9,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000414,endothelial cell of venule,CT,blood_vasculature,CL:1000414
ASCTB-TEMP:bronchial-capillary-2,bronchial capillary #2,AS,blood_vasculature,ASCTB-TEMP:bronchial-capillary-2
CL:0000071$$10,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002144,capillary endothelial cell,CT,blood_vasculature,CL:0002144
ASCTB-TEMP:intra-acinar-venule,intra-acinar venule,AS,blood_vasculature,ASCTB-TEMP:intra-acinar-venule
CL:0000071$$11,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000414$$12,endothelial cell of venule,CT,blood_vasculature,CL:1000414
ASCTB-TEMP:post-alveolar-capillary,post-alveolar capillary,AS,blood_vasculature,ASCTB-TEMP:post-alveolar-capillary
CL:0000071$$13,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002144$$14,capillary endothelial cell,CT,blood_vasculature,CL:0002144
FMA:49911,Right inferior pulmonary vein,AS,blood_vasculature,FMA:49911
CL:0000071$$15,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$16,vein endothelial cell,CT,blood_vasculature,CL:0002543
FMA:49914,Right superior pulmonary vein,AS,blood_vasculature,FMA:49914
CL:0000071$$17,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:0002543$$18,vein endothelial cell,CT,blood_vasculature,CL:0002543
UBERON:0002084,heart left ventricle,AS,blood_vasculature,UBERON:0002084
CL:0010008$$19,cardiac endothelial cell,CT,blood_vasculature,CL:0010008
UBERON:0000947,aorta,AS,blood_vasculature,UBERON:0000947
CL:0000071$$20,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413,endothelial cell of artery,CT,blood_vasculature,CL:1000413
